streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"924044 Hwy 35, Notikewin, AB T0H 2V0",Notikewin,AB,T0H 2V0,57.00975231,-117.62523209,"Welcome to a perfect blend of country living, style and comfort.  This 5-bedroom, 3-bathroom home has been extensively renovated and sits on a private 10.01-acre lot, making it ideal for the families who love the outdoors.  The home offers a timeless yet modern design with charming details throughout.  The main living area features a spacious open concept layout, combining the living, dining, and kitchen area spaces perfect for entertaining.  Natural light floods the newly updated and modern white chef’s kitchen which boasts maple accents, sleek quartz countertops, a tiled backsplash, and a large feature island adorned with elegant hanging pendants and pot lighting.  The kitchen also includes new stainless-steel appliances, gas range stove, ample cupboard space with pull-out drawers and a coffee bar with open shelving and additional slide-out storage. The living room, with its vaulted ceiling and floor-to-ceiling large windows, showcases breathtaking country views.  The luxurious master bedroom is complete with a full-size ensuite, and walk-in closet and large sized windows that let in plenty of natural light!  Two other bedrooms on the main level are generously sized and filled with natural light. 
A custom-built wrought iron railing with wood trim leads to the lower-level family room, with underfloor heat, offering ample space for family gatherings or cozy movie nights.  This level also features two more spacious bedrooms, a 4-piece bathroom and large storage room with adjustable metal shelving.   Other recent updates include a new furnace, central a/c system, google nest furnace control, hot water on demand tank, new lighting fixtures including chandeliers and pot lighting throughout, new vinyl plank flooring on main level, baseboards and trim, freshly painted both up and downstairs.  As you walk out on the back deck to enjoy your coffee, you will be amazed with the serene beauty of nature around you.     Outbuildings include a 22 x 24 detached heated garage, 30 x 32 pole shed as well as a 40 x 60 shop with underfloor heat and radiant heat, all on natural gas.  It has 2 overhead doors 20 x 14 and 12 x 14, perfect for work trucks, storage or as rental income.  Beautifully landscaped, and a well graveled yard, this property is located right on Highway 35 just 5.5 miles north of Manning! It is serviced with municipal water and has a dugout for the outside watering.   It is a must see!  Additional notes:  Listing agent is related to the seller.

",799000,CAD,5,3,"1,548",10.01,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Fire Pit"", ""Garden"", ""Private Yard""]","[""Fire Pit"", ""Garden"", ""Private Yard""]",,"[""Double Garage Detached""]",,,,,,,,,,Yes,,,,"[""Forced Air"", ""Hot Water"", ""Natural Gas""]",,,,,,,,,,,,,,,A2171026,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt Shingle""]",,,,,,,"1,548 SQFT",,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,"[""Double Garage Detached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Carpet"", ""Vinyl Plank""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Double Garage Detached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2171026,,,,,,,,,,,,,,,,
"4619 SPRUCE AVENUE, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8119012,-122.6853967,"Are you looking for an affordable starter home for your family? This split-level gem features 4 bedrooms, an office and 2 baths, making it the perfect fit! The private front deck is perfect for relaxing and a fully fenced yard keeps your little ones and pets safe and secure. The updated interior ensures less work for you. The kitchen offers cabinets right to the ceiling optimizing every bit of storage plus a dishwasher and island workspace are handy. With a gas stove, washer, gas dryer, high-efficiency furnace with central air conditioning, and an on-demand water heater, all the essentials are covered—your family will stay warm in the winter, cool in the summer and never run out of hot water! Located close to walking trails and a park for the kids. This could be the one for you! (id:38686)",169900,CAD,4,2,"1,900",0.18,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Wood""]","[""Wood""]",,"[""Open"", ""RV""]",,,[],,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2932872,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,900 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2932872,,,,,,,,,,,,,,,,
"24 SAWMILL ROAD, Teslin, YT Y0A1B0",Teslin,YT,Y0A1B0,60.1754265,-132.7068939,"Welcome to your peaceful retreat at 24 Sawmill Road in Teslin! Nestled on a spacious 0.96-acre lot, this 2-bedroom, 2-bathroom mobile home offers 980 square feet of comfortable living space. With thoughtful updates throughout, this property is truly move-in ready. Recent upgrades include new carpet in the master bedroom, along with stylish linoleum flooring in the kitchen. Modern conveniences are covered with a new oil tank, hot water tank, and septic system, all installed in 2019. Located just minutes from the gorgeous lake, hiking trails, and local amenities like a grocery store, restaurant, and more. Whether you're looking for a full-time residence or a weekend getaway, this home offers the perfect balance. Don't miss out, schedule your showing today! (id:38686)",239000,CAD,2,2,980,0.96,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,15962,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],980 SQFT,,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15962,,,,,,,,,,,,,,,,
"109 KNUTSEN AVE, Yellowknife, NT X1A2Y3",Yellowknife,NT,X1A2Y3,62.4413903,-114.4062007,"Charming 3-bedroom, 1-bathroom home located in the family friendly neighbourhood of Frame Lake, close to schools, parks, shopping, restaurants and recreational facilities. This home has been well maintained and updated through the years with cork flooring through the main living area and tile in the bathroom, an open concept living space with a modern kitchen, stainless steel appliances, separate dining room with attached living room and large front window. Three good sized bedrooms and an updated bathroom. The yard is fully fenced with a beautifully manicured front lawn and a large deck at the rear along with garden boxes and a heated detached garage. Updates: shingles (2024), windows (1997), front stairs (2019), propane furnace (2015), hot water on demand (2022). Price includes: Fridge, stove, dishwasher, microwave. heat:$1,725 (id:38686)",469900,CAD,3,1,"1,061",,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5958,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],"1,061 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5958,,,,,,,,,,,,,,,,
"5008 46 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8054263,-122.6917168,"Like brand new! Here is a well-built and meticulously cared-for home that will check all the boxes on your wish list. Gorgeous hardwood flooring is in all 3 bedrooms plus the spacious living room. Kitchen, dining room, and all bathrooms are tiled. High ceilings and open spaces feature throughout the home. The finished basement includes a family room and multi-purpose den, and ample storage. Outside there is a nice-sized backyard, deck with natural gas barbeque connection, and a large shed. Out front the driveway is concrete and leads to a generous garage. This is a   beautiful home from top to bottom, selling below assessed value. (id:38686)",289000,CAD,3,3,"2,175",0.15,,,,"Finished, Full",,,,,,,,,,,,,Composite Siding,Composite Siding,,Garage,,,,,,,,,,,,,,"Radiant/Infra-red Heat, Natural gas",,,,,,,,,,,,,,,R2931282,,,,,,,,,,,,,"$3,755",Single Family,"Asphalt shingle, Conventional",,,,,,,"2,175 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2931282,,,,,,,,,,,,,,,,
"5228 40 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8064638,-122.6767774,"Super Starter! This home has many nicely updated features and offers a good amount of space all on one floor! There are three bedrooms with the potential to use a front room as a fourth. The bathrooms have seen updates, including nice deep tubs and custom tile work. The kitchen offers plenty of room to cook up the best meals and storage galore. The family room is oversized and features a great built-in TV/bookshelf with cozy gas fireplace. The exterior has newer siding, a detached, heated workshop, and a great gazebo out back. Backs onto a green space and has good parking. The panel box also sports a BC Silver Seal showing the electrical is up to date. Make sure you take a look! (id:38686)",139900,CAD,3,2,"1,548",0.16,,,,"[""None""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2821456,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,548 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2821456,,,,,,,,,,,,,,,,
"407 TLINGIT AVENUE, Whitehorse South, YT Y0B1B0",Whitehorse South,YT,Y0B1B0,60.1692619,-134.7090912,"Nestled in the quaint and historically rich town of Carcross, Yukon, this 3-bedroom, 1-bathroom property offers a unique blend of serene mountain vistas, outdoor adventure and cultural charm. The property boasts breathtaking views of the nearby mountains & Bennett Lake is just a stone's throw away. Explore the famed Carcross Sandy Dunes, offering endless vistas as well as the many biking and hiking trails beckon outdoor adventurers. The 3-bedroom home offers comfortable living spaces, ideal for both permanent residents and those seeking a vacation retreat. Carcross, with its rich historical heritage, provides a warm and welcoming community atmosphere. Residents can immerse themselves in local culture through visits to artisan shops, where traditional crafts and artworks are proudly displayed. A local bakery offers delicious treats, perfect for an afternoon pick-me-up. Whether you're seeking scenery, adventure or history, you're sure to find it here! Come see... (id:38686)",349000,CAD,3,1,"1,200",,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,15752,,,,,,,,,,,,,$760,Single Family,[],,,,,,[],"1,200 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15752,,,,,,,,,,,,,,,,
"104548 RGE RD 161, Rural Mackenzie County, AB T0H2H0",Rural Mackenzie County,AB,T0H2H0,58.07358267,-116.51101503,"This stunning 40-acre private acreage offers breathtaking views of the creek valley at the back of the property, tremendous privacy and is located just 15 minutes southwest of La Crete in the sought-after BHP school district. The beautiful custom-built home, completed in 2015, features 5 bedrooms and 3 baths. The main area boasts vaulted ceilings and an open-concept kitchen and living space, with ample built-in storage in the kitchen. High-end appliances, hardwood floors, granite countertops, and a large island create the perfect setup for any cooking enthusiast. The spacious master suite includes an ensuite bathroom and walk-in closet, along with a patio door that opens onto the back deck, where you can enjoy stunning valley views. The fully finished basement adds even more room for family living, with a large rumpus room, three additional bedrooms, and a full bath. Additional features include temperature-controlled cold storage, central A/C, central vacuum, and in-floor heating, ensuring year-round comfort. Offering great privacy and an unbeatable location, this property is a must-see—don’t miss your chance to make it yours!",730000,CAD,5,3,"1,604",39.90,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Balcony"", ""BBQ gas line"", ""Fire Pit"", ""Private Yard"", ""Rain Gutters"", ""Storage""]","[""Balcony"", ""BBQ gas line"", ""Fire Pit"", ""Private Yard"", ""Rain Gutters"", ""Storage""]",,"[""Parking Pad"", ""RV Access/Parking"", ""Single Garage Attached""]",,,,,,,,,,Yes,,,,"[""In Floor"", ""Forced Air"", ""Natural Gas""]",,,,,,,,,,,,,,,A2167482,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt Shingle""]",,,,,,"[""Mound Septic""]","1,604 SQFT",,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,"[""Parking Pad"", ""RV Access/Parking"", ""Single Garage Attached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Carpet"", ""Hardwood""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Parking Pad"", ""RV Access/Parking"", ""Single Garage Attached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2167482,,,,,,,,,,,,,,,,
"5347 WILLOW ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8097262,-122.6752414,"This expansive 5-bed, 3-bath home is designed for family living, combining lots of space and comfort. As you step inside, a spacious entryway greets you, leading to a bright and open living area. The dining room offers seamless access to a covered porch, perfect for hosting gatherings or enjoying quiet moments outdoors. The primary bedroom features a convenient 2-piece ensuite, creating a private retreat. With four additional bedrooms, there’s room for everyone to find their own space. Downstairs, the cozy family room, complete with a wood-burning fireplace, is perfect for those chilly evenings. This level also has 2 bedrooms and a bathroom that doubles as a laundry room, super practical! Don’t miss this incredible opportunity to make this house your home! Quick possession available!! (id:38686)",179900,CAD,5,3,"2,464",0.17,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Wood""]","[""Wood""]",,"[""Open"", ""RV""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2930306,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"2,464 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2930306,,,,,,,,,,,,,,,,
"5116 SUNSET DRIVE, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8131397,-122.7008422,"Step into comfort and warmth in this roomy one-level rancher! With a spacious sunken living room that beckons for cozy evenings, this home offers 3 large bedrooms and 2 bathrooms—perfect for family living! The freshly updated kitchen is a chef’s delight, featuring modern finishes. Enjoy neutral paint tones and flooring that create an inviting atmosphere throughout. The great curb appeal will make you feel proud to call this place home. With ample parking, a detached wired garage, storage shed, and a deck that overlooks a large, mature yard with fruit trees—perfect for summer barbecues and peaceful mornings with coffee in hand. Backing onto a school yard, this home is a perfect fit for families, offering you convenience. Imagine the memories you’ll create here! Don’t let this gem slip away! (id:38686)",259900,CAD,3,2,"1,584",0.45,,,,"[""Crawl space""]",,,,,,,,,,,,,"[""Wood""]","[""Wood""]",,"[""Garage"", ""Open"", ""RV""]",,,[],,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2930333,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,584 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Garage"", ""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Garage"", ""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2930333,,,,,,,,,,,,,,,,
"5604 49 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8121677,-122.6914413,"ABRACADABRA! This enchanted little kingdom embraces integrity of age with modern upgrades galore! You will be pleasantly shocked when you step inside this gem.... truly one of a kind, with bright open floor plan, concrete foundation, upgraded furnace, hot water tank, shingles, flooring, paint, bathrooms and more .... the basement is its own oasis with a to-die-for full ensuite bathroom, open concept bedroom and massive walk-in closet. Outside you'll love the 100x150 foot lot, huge driveway, decks and shed. It's truly one of a kind ....isn't it your time?! (id:38686)",198000,CAD,3,2,"1,392",0.34,,,,"[""Partial""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open"", ""RV""]",,,[],,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2929980,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,392 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2929980,,,,,,,,,,,,,,,,
"3928 COTTONWOOD ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8059508,-122.6765386,"Awesome family home with loads of space, ideal for a large family or someone looking to earn revenue from a suite or two while living comfortably in the remainder of the building. This one has 9 bedrooms in total, and can be configured in a few different ways for multifamily use or home plus small business, depending on your wants + needs. Well cared for, and featuring recent shingles and two separate decks, this home is sure to please. (id:38686)",149000,CAD,9,5,"4,563",0.16,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Other""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2929132,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"4,563 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Other""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Other""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2929132,,,,,,,,,,,,,,,,
